Line,Component,MTBF,λ,cp,cc,PM_duration,x*,CR
1,1,14.56,2.305,14.03,9.63,4.84,14.9,0.7107
1,2,32.16,1.6444,15.01,14.11,2.35,25.84,0.5325
1,3,46.62,2.213,10.79,20.43,1.99,41.77,0.2466
1,4,22.12,1.6838,12.32,12.2,2.99,22.65,0.4805
1,5,25.64,1.9202,10.09,11.26,2.92,21.31,0.4164
1,6,43.58,2.42,15.56,16.73,1.54,51.28,0.2946
1,7,45.42,1.5866,16.15,11.49,3.43,39.81,0.3735
1,8,48.27,1.954,15.76,23.75,1.68,43.87,0.346
1,9,10.58,1.752,18.72,17.89,4.62,10.01,1.2796
1,10,49.2,2.0233,11.94,13.5,0.8,45.43,0.2583
1,11,52.69,2.2641,10.55,10.65,1.43,46.36,0.2208
1,12,24.79,2.0017,11.7,10.1,3.7,25.19,0.405
1,13,49.83,1.6717,20.39,20.29,4.09,48.08,0.3908
1,14,11.75,2.1658,19.59,20.94,2.74,12.16,1.3148
1,15,8.78,1.9498,21.91,23.17,3.84,7.96,1.8568
1,16,26.99,2.3986,20.29,23.0,4.51,30.93,0.5725
1,17,21.95,1.6783,16.27,13.51,1.39,18.75,0.8078
1,18,20.59,2.0723,15.2,24.35,2.35,22.7,0.6068
1,19,22.59,2.2444,11.95,12.6,0.97,20.3,0.5618
1,20,7.54,1.6317,19.51,18.4,4.33,7.62,1.6326
1,21,40.7,1.7332,14.64,16.77,4.36,38.63,0.3405
1,22,23.7,2.0435,21.85,21.59,0.6,26.57,0.8042
1,23,35.47,2.2409,15.33,19.69,3.39,36.48,0.3845
1,24,45.74,1.879,16.89,26.33,1.69,46.56,0.3501
1,25,41.04,2.4033,13.48,22.07,0.72,46.9,0.2831
1,26,27.25,1.5893,13.46,13.87,2.33,22.62,0.5395
1,27,50.34,1.9277,11.34,6.97,3.08,59.63,0.1808
1,28,49.21,1.9596,24.0,20.13,1.31,50.45,0.4637
2,29,56.85,1.5038,24.08,19.87,1.38,58.45,0.4025
2,30,52.26,1.9771,20.19,22.14,4.97,50.33,0.3651
2,31,20.09,2.0579,11.3,9.45,1.7,22.8,0.4612
2,32,36.05,2.4992,14.21,10.36,1.61,32.95,0.4112
2,33,48.4,2.4058,13.48,18.11,4.88,40.9,0.2945
2,34,52.72,2.1361,16.45,16.61,1.03,51.74,0.3117
2,35,59.4,1.5547,17.23,14.44,1.94,64.85,0.258
2,36,52.99,2.4387,22.76,23.54,4.07,48.83,0.4302
2,37,26.31,1.8169,14.28,18.78,2.47,22.08,0.5817
2,38,33.5,1.5571,13.29,11.32,0.78,37.52,0.347
2,39,45.41,1.9263,14.75,17.17,1.84,36.56,0.3841
2,40,48.55,1.9771,13.53,22.41,0.87,52.62,0.2529
2,41,31.0,2.0203,24.49,25.17,4.88,27.25,0.7622
2,42,15.96,2.1761,23.97,22.55,2.17,18.63,1.1524
2,43,54.63,1.6565,19.29,21.07,1.99,63.69,0.2937
2,44,13.35,1.6212,23.64,21.55,0.66,13.08,1.7205
2,45,37.54,1.5717,23.97,32.22,1.33,30.32,0.7573
2,46,22.31,2.128,23.64,26.22,1.56,25.96,0.859
2,47,57.63,1.5777,14.55,10.81,2.78,59.43,0.2339
2,48,57.65,2.0031,19.3,20.29,0.64,56.14,0.3399
2,49,14.8,1.6911,13.98,17.63,3.9,13.74,0.7925
2,50,30.07,2.4432,13.1,9.15,4.68,30.19,0.3757
2,51,29.79,2.4008,15.75,17.02,4.67,33.44,0.4133
2,52,4.2,1.8201,13.45,8.71,2.25,4.44,2.0105
2,53,18.7,1.5523,22.03,27.89,1.35,18.07,1.1344
2,54,58.76,1.7006,14.38,12.04,1.27,68.42,0.2063
2,55,38.46,1.9119,10.73,9.69,4.69,40.24,0.2388
2,56,6.22,1.903,20.47,25.03,3.33,5.21,2.397
3,57,27.92,1.6288,17.13,17.49,4.75,27.9,0.5247
3,58,21.36,2.312,20.1,19.06,4.37,23.61,0.7184
3,59,11.64,1.7287,10.3,16.09,4.44,11.39,0.6507
3,60,4.4,2.3194,18.11,25.73,1.96,5.2,2.5293
3,61,33.76,1.8997,19.63,15.52,4.78,38.39,0.4547
3,62,24.28,2.1605,12.98,15.47,2.49,23.44,0.5006
3,63,34.61,1.936,22.42,24.73,3.81,30.38,0.6557
3,64,34.05,2.4348,22.64,20.65,4.22,33.65,0.5978
3,65,12.81,1.5311,13.61,9.19,4.75,15.01,0.6888
3,66,36.47,2.167,15.18,17.49,4.58,31.9,0.4161
3,67,50.55,2.2668,15.65,10.65,1.92,45.32,0.3313
3,68,15.66,1.7505,14.2,12.73,4.08,17.95,0.6446
3,69,17.52,1.5785,21.21,21.93,1.94,20.74,0.9352
3,70,48.39,2.1038,10.6,15.67,2.59,41.66,0.2395
3,71,41.34,1.7843,18.8,19.65,3.03,37.45,0.4644
3,72,29.12,2.0377,21.76,21.28,3.4,25.05,0.7649
3,73,56.23,1.8831,10.31,8.72,3.72,64.74,0.1506
3,74,33.53,2.4299,17.36,17.98,2.55,30.14,0.531
3,75,54.38,2.4108,17.8,26.03,4.73,46.35,0.3485
3,76,37.65,1.5343,12.32,9.88,2.61,36.63,0.314
3,77,38.9,1.5744,12.74,12.2,2.64,39.78,0.3003
3,78,45.34,1.8356,16.49,16.03,3.88,36.6,0.4074
3,79,40.62,2.1186,11.29,12.75,1.72,43.7,0.2486
3,80,11.12,1.8567,22.53,19.19,3.06,12.85,1.4161
3,81,4.51,1.7014,19.2,14.67,4.81,3.66,2.2668
3,82,17.71,2.3815,20.81,26.07,2.23,15.52,1.1724
3,83,32.96,2.4081,10.99,17.57,4.07,38.33,0.2592
3,84,10.86,2.034,16.15,11.64,4.43,9.9,1.127
4,85,22.17,2.4451,16.91,20.21,1.59,22.05,0.7153
4,86,45.36,2.3669,20.04,21.66,3.22,38.69,0.4782
4,87,47.38,1.7648,20.8,24.55,4.68,46.3,0.408
4,88,38.6,2.27,24.44,28.6,0.74,43.58,0.5514
4,89,33.03,1.9618,18.71,24.0,1.74,34.74,0.5129
4,90,43.16,2.2111,22.9,19.74,0.5,38.7,0.5842
4,91,31.05,2.3868,21.25,19.58,2.05,37.16,0.542
4,92,47.14,1.7105,13.5,13.96,2.63,52.25,0.246
4,93,16.77,2.4222,15.7,14.94,3.06,17.17,0.7761
4,94,31.24,2.0049,22.19,18.11,1.09,34.57,0.6223
4,95,56.22,2.4473,12.03,7.82,2.0,65.98,0.177
4,96,14.28,1.7528,15.75,21.4,2.18,12.4,1.0802
4,97,18.96,2.0091,19.17,19.17,0.95,22.28,0.8252
4,98,55.09,2.4461,11.97,13.24,1.41,65.49,0.1789
4,99,52.12,1.61,16.35,14.45,4.75,42.66,0.3449
4,100,34.46,1.8386,19.2,26.5,2.5,33.55,0.5326
4,101,49.89,2.4056,17.98,13.31,0.82,53.25,0.3325
4,102,52.32,1.6629,22.8,26.92,4.11,60.77,0.3514
4,103,21.96,2.0523,10.66,16.22,0.49,19.82,0.5249
4,104,14.66,2.17,22.09,18.43,0.25,13.99,1.5513
4,105,31.15,1.855,24.46,26.65,1.77,30.28,0.7632
4,106,53.0,1.8015,21.38,27.94,0.7,43.54,0.4833
4,107,11.87,2.1225,17.56,14.54,1.24,14.0,1.1522
4,108,51.18,2.2224,11.59,7.71,0.62,60.97,0.1882
4,109,12.88,1.9875,19.59,17.6,1.98,11.72,1.4299
4,110,53.71,1.5406,22.49,23.02,4.59,43.64,0.4663
4,111,58.14,2.0266,15.44,17.37,1.69,47.43,0.3143
4,112,40.67,1.9427,13.69,12.07,4.76,43.97,0.2809
5,113,7.81,1.6938,21.07,20.08,1.27,6.92,2.5726
5,114,52.25,2.4422,15.28,10.63,2.71,47.41,0.3049
5,115,40.64,2.0336,15.94,21.85,4.73,40.84,0.3498
5,116,19.0,1.955,20.6,25.23,2.49,15.52,1.1438
5,117,31.79,2.0445,21.41,30.98,1.05,27.94,0.7385
5,118,53.02,2.2045,18.11,23.95,2.41,50.33,0.3434
5,119,31.62,2.0791,23.51,30.58,1.15,26.55,0.8487
5,120,37.83,1.621,17.91,17.03,0.62,31.61,0.5557
5,121,28.14,1.6748,18.42,23.02,4.94,23.58,0.6459
5,122,58.65,1.7863,19.75,20.42,2.26,59.51,0.3197
5,123,19.58,1.5616,23.43,27.43,1.02,16.18,1.3622
5,124,42.67,2.0724,15.45,15.14,2.17,50.7,0.2922
5,125,13.84,2.0971,16.7,17.48,2.26,13.76,1.0424
5,126,34.43,1.8048,11.29,14.86,1.11,37.05,0.2959
5,127,25.86,1.9158,15.52,12.69,2.48,27.55,0.5168
5,128,41.28,1.7862,12.9,8.06,2.44,47.83,0.2566
5,129,15.8,1.7275,11.91,14.51,1.58,13.49,0.7903
5,130,40.11,1.8397,18.36,17.92,3.61,33.95,0.4888
5,131,34.04,1.9371,19.06,29.05,1.52,35.51,0.5147
5,132,26.66,1.7252,17.19,18.59,1.47,25.26,0.6431
5,133,24.91,1.8835,19.76,24.43,4.22,28.08,0.6118
5,134,6.15,2.3708,15.97,15.64,2.69,4.95,2.0903
5,135,52.81,1.9467,12.07,10.54,1.88,50.77,0.2292
5,136,42.0,1.9209,18.99,21.86,4.82,40.27,0.4212
5,137,22.86,2.0695,11.18,12.13,4.34,20.23,0.455
5,138,41.45,2.0429,11.88,10.78,4.21,48.85,0.2239
5,139,27.24,1.8269,23.96,33.92,3.13,22.04,0.9519
5,140,10.32,2.1095,14.28,14.79,4.15,8.49,1.1297
6,141,24.69,2.0058,20.93,20.22,2.91,25.53,0.7359
6,142,34.67,2.1405,11.27,7.84,1.48,34.67,0.3118
6,143,51.06,2.2013,15.26,13.02,4.0,44.77,0.3129
6,144,7.43,2.0909,12.5,12.96,4.95,6.69,1.0739
6,145,50.46,2.2039,16.13,21.85,4.74,53.1,0.2789
6,146,29.18,1.6886,17.93,25.81,2.66,31.09,0.5313
6,147,10.35,2.2206,23.41,25.85,2.63,11.68,1.6359
6,148,6.11,1.8672,12.22,14.29,2.83,5.3,1.5031
6,149,36.52,2.2144,20.58,25.73,4.6,29.23,0.6083
6,150,10.73,2.0346,16.26,22.43,3.46,8.9,1.3155
6,151,14.75,2.34,23.42,25.35,3.69,13.04,1.3999
6,152,4.66,2.4974,20.02,19.08,1.59,5.41,2.86
6,153,21.93,2.1703,19.37,15.85,1.14,20.29,0.9039
6,154,14.02,2.4019,13.68,10.92,2.14,15.39,0.7804
6,155,58.39,1.938,18.49,18.32,4.34,58.7,0.2933
6,156,40.43,2.3897,23.52,29.43,2.34,42.1,0.5293
6,157,22.23,2.4836,10.66,10.02,3.42,18.28,0.4912
6,158,5.34,1.95,16.57,12.72,1.83,5.74,2.1889
6,159,32.82,1.7002,18.88,14.91,1.77,27.22,0.6513
6,160,49.49,2.2524,20.74,26.56,3.83,52.31,0.3694
6,161,6.15,2.1215,17.51,14.45,3.94,6.5,1.6772
6,162,42.8,2.371,21.55,22.73,1.88,43.28,0.4772
6,163,32.99,2.0779,24.47,19.84,3.81,38.76,0.5748
6,164,33.67,2.1149,11.4,19.38,2.54,31.13,0.3386
6,165,21.15,2.3378,23.22,22.37,0.59,24.84,0.9131
6,166,41.97,1.9144,15.16,17.14,3.53,46.18,0.305
6,167,40.1,1.8553,10.47,10.8,0.48,40.7,0.2542
6,168,51.08,1.5334,13.56,9.07,1.99,60.36,0.2175
7,169,16.5,2.4223,24.78,26.3,2.27,13.24,1.5977
7,170,45.9,2.4031,11.44,12.98,0.91,46.68,0.2404
7,171,33.54,1.6411,22.15,21.59,0.25,39.1,0.5629
7,172,15.68,2.1653,19.06,19.21,0.62,14.43,1.2664
7,173,29.95,2.0994,21.12,20.76,1.06,25.86,0.7845
7,174,42.53,1.6282,13.71,17.81,2.27,49.02,0.2673
7,175,53.94,1.6964,11.32,11.31,3.17,57.38,0.187
7,176,38.98,1.7825,11.54,17.57,2.05,42.24,0.2606
7,177,17.94,1.8244,10.39,11.01,1.84,20.79,0.4591
7,178,33.02,1.9555,23.19,24.8,0.4,32.88,0.6968
7,179,23.15,2.4242,18.72,15.26,0.37,22.49,0.8189
7,180,40.53,2.2271,24.05,20.69,0.25,36.7,0.6509
7,181,6.12,1.6231,14.73,10.48,4.94,6.66,1.2698
7,182,51.86,1.757,13.35,9.07,0.35,50.44,0.2628
7,183,16.88,2.0159,24.11,30.64,1.45,15.9,1.3896
7,184,25.34,1.9119,16.77,26.32,3.71,23.68,0.6123
7,185,35.4,1.5951,16.2,17.34,1.2,30.56,0.5101
7,186,29.52,2.1057,15.75,22.3,3.54,28.81,0.4869
7,187,7.77,1.9647,19.22,25.17,4.15,6.58,1.7912
7,188,4.76,1.8032,21.85,20.32,3.57,4.61,2.6711
7,189,26.99,1.7313,12.95,9.34,0.9,21.69,0.5733
7,190,39.13,1.8164,12.91,10.41,4.87,31.44,0.3555
7,191,51.0,1.532,23.38,22.19,4.72,54.14,0.3972
7,192,25.67,2.1472,10.81,9.66,0.46,29.65,0.359
7,193,9.86,2.3226,15.91,13.71,1.25,8.48,1.6351
7,194,32.2,2.3016,17.36,25.01,2.35,32.08,0.5042
7,195,18.43,2.3849,13.32,13.94,2.99,15.07,0.7375
7,196,59.56,1.6304,15.92,17.08,4.03,57.49,0.2588
8,197,34.1,1.5493,13.67,16.64,0.26,28.83,0.4699
8,198,27.01,2.1478,12.68,14.26,3.63,24.42,0.452
8,199,51.79,2.3635,12.53,20.68,3.92,53.79,0.2171
8,200,22.88,1.7625,17.65,15.17,0.83,22.65,0.7517
8,201,24.36,2.141,12.46,8.45,4.53,25.58,0.4138
8,202,44.82,2.4319,24.25,23.47,1.57,36.88,0.6307
8,203,54.05,2.0298,22.47,17.74,3.43,62.24,0.3422
8,204,21.64,1.629,18.97,15.89,2.48,17.6,0.9447
8,205,27.54,2.3951,19.56,20.9,4.92,27.72,0.5993
8,206,12.61,2.4217,20.98,24.58,3.85,11.15,1.3987
8,207,42.54,1.7197,21.73,27.36,2.33,47.51,0.436
8,208,50.96,2.1548,14.11,9.93,1.34,46.34,0.2959
8,209,15.73,1.9553,11.57,19.07,4.57,13.19,0.6515
8,210,55.66,2.0685,21.35,21.2,1.98,45.41,0.4505
8,211,51.01,1.9482,13.32,21.5,3.27,50.46,0.2479
8,212,38.59,1.9563,17.47,25.88,4.5,37.21,0.4188
8,213,16.88,1.9061,13.41,14.05,4.17,15.89,0.6685
8,214,39.96,1.7456,21.92,18.82,0.77,45.64,0.4723
8,215,23.4,2.473,14.02,13.96,4.9,22.94,0.5036
8,216,9.64,2.2075,23.05,18.94,0.4,8.39,2.6223
8,217,57.77,2.1932,15.96,12.6,4.06,57.32,0.26
8,218,34.9,2.1318,24.23,25.99,1.47,28.13,0.8186
8,219,30.94,1.8334,18.56,16.46,2.38,33.82,0.5127
8,220,42.41,2.3333,19.14,16.73,1.44,42.17,0.4389
8,221,21.57,1.6418,11.58,18.87,1.27,25.46,0.4332
8,222,44.86,1.552,22.94,22.04,4.45,53.4,0.3965
8,223,33.81,2.4053,12.87,11.96,0.64,38.09,0.3323
8,224,59.34,1.8889,22.02,25.61,0.48,59.22,0.3688
9,225,45.57,2.2704,14.58,21.89,2.62,43.9,0.3134
9,226,19.71,2.2311,12.58,9.61,1.4,20.73,0.5685
9,227,10.6,2.1549,10.0,11.54,1.6,12.16,0.7267
9,228,17.08,2.2784,24.56,24.33,3.14,14.1,1.4246
9,229,26.19,2.4638,14.32,14.24,2.81,27.71,0.4692
9,230,24.94,2.4509,14.56,19.13,0.36,22.47,0.6378
9,231,33.92,2.3238,24.15,27.6,0.74,36.8,0.6433
9,232,25.56,1.9023,24.44,22.38,3.97,25.37,0.833
9,233,25.07,1.8632,20.28,16.64,0.5,28.24,0.7056
9,234,48.94,1.9864,19.57,16.22,1.67,53.45,0.355
9,235,6.26,1.5948,12.29,14.26,0.28,5.73,2.0449
9,236,12.36,1.741,17.8,18.91,4.7,11.84,1.0762
9,237,22.76,1.7073,14.75,19.07,2.04,23.46,0.5784
9,238,7.69,1.6913,24.05,23.7,2.19,6.94,2.6342
9,239,11.11,1.5585,12.36,12.69,1.7,8.96,1.1595
9,240,35.24,1.8795,18.44,15.51,2.66,38.53,0.4477
9,241,52.79,1.6926,23.47,22.33,0.71,49.82,0.4645
9,242,11.04,2.0893,13.04,13.62,2.74,11.44,0.9196
9,243,9.43,2.048,21.89,25.11,3.59,10.22,1.5851
9,244,41.93,1.5244,14.99,18.72,2.21,43.45,0.3283
9,245,55.14,2.2978,24.68,24.04,4.63,53.22,0.4266
9,246,52.15,1.7518,19.21,21.89,4.91,45.55,0.3807
9,247,46.47,1.522,10.21,15.13,4.13,48.54,0.1938
9,248,42.98,1.8425,11.04,9.68,0.76,47.14,0.2305
9,249,32.55,1.9224,10.4,12.23,2.14,37.41,0.263
9,250,22.45,2.0878,16.62,12.14,4.27,22.54,0.6199
9,251,58.29,2.1932,12.84,21.57,0.59,61.03,0.2084
9,252,40.09,1.5283,21.82,21.78,4.19,35.52,0.5495
10,253,6.26,1.7011,15.07,13.63,1.1,6.2,2.0644
10,254,19.16,1.5292,15.94,17.01,3.12,21.05,0.6595
